Code,Supplier_Name,Country,Contact_First_Name,Contact_Last_Name,Contact_Email,Contact_Phone,Postal_Address,Notes
ASHBYS,Ashby's Ready Mixed (AML Ltd),New Zealand,,,amladmin@hwr.co.nz,359-7084,Invercargill Invercargill   Invercargill  9840,
ASMUSS,Asmuss South Island (HJ Asmuss & Co Ltd),New Zealand,,,admin@asmuss.co.nz,03 347-1568,Rolleston West Rolleston West     7658,
ATMORE,Atmore Associates Limited ** 7 DAYS **,New Zealand,Karen,Miles,,03 281 3519,Rangitata Rangitata   Rangitata  7992,
AUTOMO,AUTOMOTIVE BRANDS LTD (FAAST FITT),,,,office@automotivebrands.co.nz,379 1532,Christchurch Christchurch 8540    ,
AUTOTR,Auto Transmissions Ltd,,,,office@autotransmissions.co.nz,3793692,Phillipstown Phillipstown   Christchurch  8011,
AVERYB,Avery Brothers Ltd **7 DAYS**,New Zealand,Brent,,averybrothers@xtra.co.nz,03 789-8526,Westport Westport   Westport  7866,
AWAGAR,Awa Gardens Limited,,,,info@awanursery.co.nz,(09) 411 8712,Waimauku Waimauku 842    ,
BAIERG,BAIER GROUP LTD,,,,jeremy@baiergroup.co.nz,359 8849,Northwood Northwood Christchurch 8548    ,
BANKFE,Bank Fees,,Internal use only,,,,      ,
BANKSP,BANKS PENINSULA TRANSPORT (2006) LTD,,,,,325 1024,Little River Little River     ,
BARTER,BARTERCARD (DD),,,,,94146621,61 Constellation Drive 61 Constellation Drive Albany; Auckland 0632    ,
BEATTI,BEATTIE AIR CONDITIONING SERVC,,,,receivables@beattiegroup.co.nz,379 4832,Christchurch Christchurch     ,
BEVANG,BEVAN G SMITH,,,,,365 1071,Christchurch Christchurch 8145    ,
BILLST,Bill Stephens Truck Refinishing Limited,New Zealand,,,,,Hornby Hornby   Christchurch  8042,
BIOFOR,Bioforce Limited,New Zealand,,,,,Drury Drury   Drury  2247,
BLACKA,Blackadder Fencing Ltd (SUPPLIER),New Zealand,Andrew,Stratton,andrew@hotmail.com,027 443 5395,Upper Riccarton Upper Riccarton   Christchurch  8442,
BLACKS,BLACKS FASTENERS (WAIFOR),,,,accounts@blacksfasteners.co.nz,348 0340,Christchurch Christchurch     ,
BLACKS1,BLACKS FASTENERS LTD (WAITRU),,,,accounts@blacksfasteners.co.nz,,Christchurch Christchurch     ,
BLACKW,BLACKWELL MOTORS LTD (EST 1923),,,,,379 8180,Christchurch Christchurch     ,
BLUEMO,BLUE MOUNTAIN NURSERIES LTD,,,,info@bmn.co.nz,(03) 204 8250,Tapanui Tapanui Otago    ,
BLUESK,BLUESKIN NURSERIES LTD,,,,,03 482 2011,Waitaki Waitaki OTAGO    ,
BRIDGE,BRIDGESTONE / FIRESTONE (WAIFOR),,,,ar@bridgestone.co.nz,359 3434,Victoria Street West Victoria Street West Auckland 1142   ,
BRIDGE1,BRIDGESTONE / FIRESTONE (WAITRU),,,,ar@bridgestone.co.nz,359 3434,Victoria Street West Victoria Street West Auckland 1142   ,
BRIDON,BRIDON NZ LTD (INC COOKES),,,,debtors@bridon.co.nz,09 274 4299,Panmure Panmure Auckland    ,
BROADL,Broadleaf Nursery,New Zealand,,,,,RD 1 RD 1   Kaiapoi  7691,
BULBSD,Bulbs Direct Limited,New Zealand,,,info@bulbsdirect.co.nz,09 4321000,Paparoa Paparoa   Paparoa  543,
BURGES,Burgess Automotive **Cash Sale A/C**,New Zealand,,,accounts@burgessauto.co.nz,03 352-8231,Papanui Papanui   Christchurch  8542,
BURKEE,BURKE ELECTRICAL,,,,lenburke@actrix.co.nz,0274 333 706,Papanui Papanui CHRISTCHURCH    ,
BURNSI,BURNSIDE RADIATORS LTD,,,,,359 4240,Burnside Burnside Christchurch    ,
BUSINE,BUSINESS DISTRIBUTORS LTD,,,,Accounts@bdl.co.nz,365 0224,Christchurch Christchurch 8140    ,
BUSINE1,BUSINESS TECHNOLOGY GROUP LTD,,,,admin@btg.co.nz,(09) 580 1374,Auckland Auckland     ,
BVTCON,BVT Consulting Ltd,New Zealand,,,accounts@bvt.co.nz,371-7593,Sydenham Sydenham   Christchurch  8240,
CANTER,Canterbury Employers Chamber of Commerce,New Zealand,,,,(03) 366-5096,Christchurch Christchurch   Christchurch  8140,
CANTER1,Canterbury Environmental Services Ltd T/A Hydrovac South Island,,,,office@hydrovac.co.nz,64 3 3669187,    Christchurch  ,http://www.hydrovac.co.nz
CANTER2,Canterbury Honda Ltd,New Zealand,,,office@canterburyhonda.co.nz,03 3127927,Woodend Woodend   Woodend  7641,
CANTER3,CANTERBURY IT LTD,,,,ian@canterbury-it.com,021 555 251,Eastgate Eastgate Christchurch    ,
CANTER4,CANTERBURY LANDSCAPE SUPPLIES LTD,,,,alex@pottingmix.co.nz,03 323 7797,Kaiapoi Kaiapoi 7644    ,
CANTER5,CANTERBURY TIMBER & HARDWARE,,,,accounts@cthl.co.nz,(03) 347 7465,Templeton Templeton Christchurch 8445    ,
CANTER6,CANTERBURY TREES,,,,c.trees@xtra.co.nz,03 327 7491,Clarkville; RD2 Clarkville; RD2 KAIAPOI    ,
CARDSM,CARDSMART (CARDLINK) (DD),,,,hena.sikulu@cardlink.co.nz,0800 727 863,Newmarket Newmarket Auckland 1149    ,
CARTRI,CARTRIDGE WORLD CHRISTCHURCH CBD,,,,accounts.chchcity@cartridgeworld.co.nz,33657739,Christchurch CBD Christchurch CBD Christchurch 8142    ,
CHARLE,Charles Taam **7 DAYS**,,,,c_taam@yahoo.co.nz,022 0900456,Wainoni Wainoni   Christchurch  ,
CHORUS,CHORUS NEW ZEALAND LTD,,,,billingenquiries@chorus.co.nz,800245537,Wellersley Street Wellersley Street Auckland 1141    ,
CHRIST,CHRIS TODD CR,,,,getchristodd@gmail.com,,Bryndwr Bryndwr Christchurch 8053    ,
CHRIST1,CHRISTCHURCH CITY COUNCIL CR,,,,info@ccc.govt.nz,,Christchurch Christchurch     ,
CHRIST2,Christchurch Lock & Key Ltd,,,,,03 3527964,Papanui Papanui   Christchurch  8542,
CHRIST3,CHRISTCHURCH READY MIX,,,,accountsreceivable@crmc.co.nz,(03) 323 8149,P O Box 329 P O Box 329 Kaiapoi 7644   ,
CIRCUI,Circuit Asphalt Limited,,Cheryl,,accounts@circuitasphalt.co.nz,,Lyttelton Lyttelton   Christchurch Canterbury 8082,
CITYCA,City Care Ltd (supplier),New Zealand,,,debtors@citycare.co.nz,941-7200,Sydenham Sydenham   Christchurch  8240,
CITYFI,CITY FIRST AID,,,,cfa@xtra.co.nz,03 3265067,Sumner Sumner Christchurch 8840    ,
CLARKE,CLARKE MCKENZIE 2013 LTD,,,,,323 6536,Belfast Belfast Christchurch 8051    ,
COCKRA,COCKRAM MOTORS (CHCH) LTD,,,,accounts@cockrammotors.co.nz,366 2644,Christchurch 8140 Christchurch 8140     ,
COMPAS,COMPASS COMMUNICATIONS LTD (DD),,,,,0800 640 840,Auckland Auckland     ,
CONCRE,Concrete Masters Limited,New Zealand,,,info@concretemasters.co.nz,027 222 1600,Parklands Parklands   Christchurch  8842,
CONTIN,Continental Catering Group Limited,New Zealand,,,lbiddlecombe@continental.co.nz,03 311-8220,Rangiora Rangiora   Rangiora  7440,
CORPOR,CORPORATE CONSUMABLES LTD,,,,accounts@corpcons.co.nz,0800 50 22 51,Sydenham Sydenham Christchurch 8023   ,
CORYSE,CORYS ELECTRICAL LTD ** CASH SALE A/C ONLY **,New Zealand,,,accounts.receivable@corys.co.nz,0800 267977,Symonds Street Symonds Street   Auckland  1150,
CROFTP,Croft Print Ltd,New Zealand,,,sales@croftprint.co.nz,03 343 2270,Phillipstown Phillipstown   Christchurch  8145,
DALTON,DALTONS LIMITED,,,,remit@daltons.co.nz,0800 808 150,Matamata Matamata 3440    ,
DANDYP,DANDY PLANTS (AKA GREENLEAF NURSERIES),,,,sales@greenleafnurseries.co.nz,0800 326 397,RD 2 RD 2 Hastings    ,
DENISC,Denis Cunningham Ltd,,,,office@dcwelding.co.nz,03 3499353,    Halswell  8245,
DEPART,DEPARTMENT OF CONSERVATION,,,,ar@doc.govt.nz,(03) 379 9758 A/C's,P O Box 10420 P O Box 10420 Wellington 6143   ,
DEPART1,DEPARTMENT OF CORRECTIONS,,,,accounts@corrections.govt.nz,800243222,Wellington 6140 Wellington 6140     ,
DIGGAN,Digga NZ Limited (Cash Sale a/c only),,,,,09 262-3500,Manukau City Manukau City   Auckland  ,
DONALD,Donald & Adrianne Middleton,New Zealand,Donald,Middleton,donaldmiddleton100@gmail.com,021 02605004,RD 12 RD 12   Rakaia  7782,
DRIVET,Drivetech Ltd,,,,info@drivetech.co.nz,027 5100684,No1 RD No1 RD   Invercargill  ,
DRUMMO,DRUMMOND & ETHERIDGE LTD,,,,admin@dne.co.nz,03 349 4883,Hornby Hornby Christchurch    ,
DRYLIN,DRYLINE LIMITED,,,,,,Tai Tapu 7645 Tai Tapu 7645     ,
EASYBI,EASY BIG TREES LTD,,,,sales@easybigtrees.co.nz,(03) 215 8899,Invercargill Invercargill     ,
ECLGRO,ECL Group Security Limited,,,,alix.ruddenklau@eclgroup.co.nz,03 3398788,    Christchurch  ,
ECOCEN,ECOCENTRAL LIMITED,,,,,336 0080,Upper Riccarton Upper Riccarton Christchurch    ,
EDGESM,Edgesmith Ltd,New Zealand,,,ar@edgesmith.global,09 427 4980,Silverdale Silverdale   Silverdale  944,
EGMONT,EGMONT COMMERCIAL LTD (WAIFOR),,,,accounts@egmontnz.com,349 5546,Halswell Halswell Christchurch    ,
EGMONT1,EGMONT COMMERCIAL LTD (WAITRU),,,,accounts@egmontnz.com,349 5546,Halswell Halswell Christchurch 8245    ,
ELITET,ELITE TRAILERS & FLOATS LTD,,,,Sales@elitetrailers.co.nz,,Sockburn Sockburn Christchurch    ,
ELITET1,Elite Trees,New Zealand,,,,0800 354838,Hornby Hornby   Christchurch  8441,
ELLIOT,ELLIOTTS WHOLESALE NURSERY,,,,elliotts@elliotts.co.nz,03 314 9049,R D 1 R D 1 Amberley    ,
EMPLOY,Employsure Limited (DD),,,,accounts.receivableNZ@employsure.co.nz,0800 675 700,Level 2 Level 2 22 - 28 Customs Street East  Auckland  1010,http://www.employsure.co.nz
ENVIRO,ENVIRONMENT CANTERBURY CR,,,,finance@ecan.govt.nz,0800 324 636,Christchurch Christchurch 8140    ,
ENVIRO1,ENVIROWASTE SERVICES LTD,,,,accounts.receivable@envirowaste.co.nz,0800 240 120,Penrose Penrose Auckland    ,
ESARGE,ESARGEE LTD T/A SIMPLY SIGNS,,,,,33523210,Christchurch 8544 Christchurch 8544     ,
EVERGR,EVERGREEN NURSERY/LANDSCAPES,,,,,349 2927,R D 6 R D 6 Christchurch    ,
EXTEND,Extend IT Services Limited,New Zealand,Tyler,,Tyler@extendit.nz,021 300 795,Parkvale Parkvale   Hastings  4122,
FAHEYF,FAHEY FENCE HIRE LTD,,,,chch@faheyfencehire.co.nz,365 2838 Sue a/c's,Christchurch Christchurch 8140    ,
FASTWA,FASTWAY COURIERS CHRISTCHURCH,,,,,365 2174,Hornby Hornby Christchurch    ,
FATWEB,FATWEB LTD,,,,,0800 444 090,Christchurch Christchurch 8140    ,
FELGRO,FEL. GROUP LTD,,,,,,Penrose Penrose Auckland    ,
FERNFA,FERN FACTOR,,,,accounts@fernfactor.co.nz,344 0297,5 RD 5 RD Christchurch    ,
FIREWA,Firewatch Canterbury Ltd,New Zealand,,,admin@firewatchcanterbury.nz,377 2434,RD 2 RD 2   Kaiapoi  7692,
FLASHC,Flash Concrete Limited,New Zealand,,,,03 595-2079,8023,
FLATOU,FLATOUT,,,,accounts@flatout.co.nz,0800 111 300,Forrest Hill Forrest Hill Auckland 0620    ,
FLOORI,Flooring Wholesale Limited t/a Look Floors,,,,accounts.receivable@lookfloors.co.nz,03 3662551,Penrose Penrose   Auckland  1061,
FMGINS,FMG INSURANCE LTD,,,,,0800 366 466,Christchurch Christchurch 8140    ,
FOCUST,FOCUS TECHNOLOGY GROUP NZ LTD,,,,admin@focus.net.nz,741 3301,Middleton Middleton Christchurch    ,
FOOTPR,Footprint Engineering,New Zealand,,,,022 342 3621,    Riccarton Christchurch 8011,
FORDBR,FORD BROTHERS LIMITED,,,,fordbros@xtra.co.nz,03 3195384,Kaikoura 7300 Kaikoura 7300     ,
FOREST,Forests Forever NZ Seedlings,,,,,800757522,    Westport  ,
FOSTER,FOSTERS OUTDOOR POWER EQUIPMT,,,,accounts@fostersope.co.nz,343 6339,Sockburn  Chch  8443 Sockburn  Chch  8443     ,
FRANKS,FRANK'S TREES,New Zealand,,,franks.trees@xtra.co.nz,,RD 1 RD 1   Richmond  7081,
FREWSC,FREWS CONTRACTING LTD,,,,accounts@frews.co.nz,348 8567,Hornby Hornby   Christchurch  ,
FREWSQ,Frews Quarries Limited,New Zealand,,,accounts@frews.co.nz,03 348 8567,Hornby Hornby   Christchurch  8441,
FULTON,FULTON HOGAN CANTERBURY (Supplier),,,,ar.canterbury@fultonhogan.com,349 7039,Christchurch Christchurch     ,
GARDEN,Garden Hotel Limited,New Zealand,,,gardenr@gardenhotel.co.nz,03 386-0088,8061,
GARDEN1,GARDENMAKERS (TW TRANSPORT),,,,sales@gardenmakers.co.nz,341 5688,Hornby Hornby Christchurch 8441   ,
GEOFAB,GEOFABRICS NZ LTD,,,,accounts@maccaferri.co.nz,(03) 344 4500,Penrose Penrose Auckland    ,
GEORGE,George Henry & Co. Ltd,New Zealand,,,accounts@georgehenry.co.nz,366-5186,Christchurch Christchurch   Christchurch  8140,
GERALD,Gerald Horton Signs Ltd,New Zealand,,,,,Rangiora Rangiora   Rangiora  7440,
GILLLA,Gill Landscapes Limited (supplier),New Zealand,,,,,8051,
GLOBAL,Global PC Limited,New Zealand,Austin,Ellis,accounts@globalpc.co.nz,021 678 883 (Austin),Tower Junction Tower Junction   Christchurch  8149,
GNBREW,G N BREWER LTD,New Zealand,,,admin@gnbrewer.co.nz,03 3899548,Bromley Bromley   Christchurch  8062,
GOLDPI,GOLDPINE,,,,debtors@goldpine.co.nz,344 4080,Hornby Hornby Christchurch    ,
GOODTO,GoodToGrow NZ Ltd,New Zealand,,,richard@goodtogrownz.co.nz,027 3470392,Hatfields Beach Hatfields Beach   Orewa  931,
GOUGH;,Gough; Gough and Hamer Limited (Cat),,,,accounts.receivable@goughcat.co.nz,03 983 233,Hornby Hornby Christchurch 8441    ,
GOUGHS,GOUGHS NURSERIES **7 Days**,New Zealand,Andrew,Gough,agough1029@yahoo.com,0221 907 542,RD 2 RD 2   Kaiapoi  7692,
GRSEXC,Grs Excavations Limited,New Zealand,,,gav.renee@scorch.co.nz,0274 876689,Rangiora 7440 Rangiora 7440     7440,
HALFPR,Half Price Imports Limited,New Zealand,,,,021 667 647,Woolston Woolston   Christchurch  8023,
HALSWE,HALSWELL TIMBER CO (supplier),,,,jill@halswelltimber.co.nz,338 9199,Halswell Halswell Christchurch    ,
HARDIE,Hardie Consulting Services Ltd **7 DAYS**,,,,,,Cashmere Cashmere Christchurch 8022    ,
HAREWO,HAREWOOD PANEL & PAINT,,,,info@harewoodpanelpaint.co.nz,358 8154,Burnside Burnside   Christchurch  8053,
HAULPL,Haul Plus Limited,New Zealand,,,,09 270-1866,Onehunga Onehunga   Auckland  1061,
HEADFO,HEADFORD PROPAGATORS LTD,,,,office@headfordprop.co.nz,(03) 689 4813,Morven; 10 R D Morven; 10 R D WAIMATE    ,
HEATHM,Heath Melville,New Zealand,Heath,Melville,,022 1988280,64 Puriri Street 64 Puriri Street   Christchurch  8041,
HIDEAN,HIDE - ANDREW,,,,hidespray@xtra.co.nz,,RD1 RD1 Rangiora 7471    ,
HILTON,HILTON HAULAGE,,,,accounts@hiltons.co.nz,03 6874010,Washdyke Washdyke     ,
HIREPO,HIREPOOL LTD (WAIFOR),,,,accounts.receivable@hirepool.co.nz,359 6560,Penrose Penrose Auckland 1642    ,
HONDAN,HONDA NZ LTD,,,,accrec@honda.co.nz,379 3120,Christchurch Christchurch     ,
HORNBY,Hornby ToolShed,New Zealand,,,hornby@thetoolshed.co.nz,03 344-1188,Hornby Hornby   Christchurch  8042,
HUMESP,HUMES PIPELINE SYSTEMS - 5565779,New Zealand,,,humescredit@humes.co.nz,,Penrose Penrose   Auckland  1642,
HYGIEN,HYGIENE SYSTEMS (AUSTRALASIA) LTD,,,,accountsnz@hygienesystems.com,(09) 478 0200,Triton Plaza Triton Plaza Auckland 757   ,
INDUST,INDUSTRY SOLUTIONS LTD,,,,,(03) 318 7111,R D 1  DARFIELD R D 1  DARFIELD     ,
INNESE,Innes Engineering Limited,New Zealand,,,,03 357-0023,Burnside Burnside   Christchurch  8053,
INTERL,Interlink Ltd,New Zealand,,,accounts@interlinkltd.com,03 443-7086,Wanaka Wanaka   Wanaka  9305,
IPPSIN,IPPS (I'NATIONAL PLANT PROPAGTORS SOCIETY),,,,gus@gusevans.co.nz,(04) 293 2501,Waikanae Waikanae 5250    ,
IRDFBT,IRD - FBT payments,,Internal use only,,,,      ,
IRDPAY,IRD - PAYE payments,,Internal use only,,,,      ,
ITSAGR,It's A Growing Business,New Zealand,Heather,Hall,,,Darfield Darfield   Darfield  7510,
JCLASP,JCL Asphalt (James Craw Ltd),,,,debbie@jclasphalt.co.nz,03 981-0496,Halswell Halswell   Christchurch  8245,http://www.jclasphalt.co.nz
JOHANN,Johanna Blakely **7 DAYS**,New Zealand,Johanna,Blakely,jojoblakely@gmail.com,022 6576773,Kennedys Bush Kennedys Bush   Christchurch  8025,
KAIKOU,Kaikoura Hammer Hardware (WAITRU),,,,kaikoura@mitre10.co.nz,(03) 319-5013,    Kaikoura  ,http://www.hammerhardware.co.nz
KANNAN,Kannangara Thomson Trust Account,,,,,,No details - refer Meryl. No details - refer Meryl. Set up this a/c for records only.    ,
KAURIP,KAURI PARK,,,,lorena.Walton@kpn.co.nz,(09) 431 2125,Maungaturoto Maungaturoto 547    ,
KCFENC,KC Fence Systems,New Zealand,,,accounts@kcfencesystems.co.nz,03 374 3510,    Christchurch  8140,
KENNAR,KENNARDS HIRE NZ LTD,,,,ar@kennardshire.co.nz,(09) 298 9216,Botany Botany Auckland 2163    ,
KIWICO,Kiwi Concrete,New Zealand,,,accounts@kiwiconcrete.co.nz,437-0458,Christchurch Christchurch   Christchurch  8140,
KIWIEF,KIWI EFTPOS & POS GROUP LTD,,,,,338 7672,Christchurch Christchurch 8244    ,
KIWIFL,KIWIFLORA NURSERIES LTD CR,,,,accounts@kiwiflora.co.nz,349 4582,CHRISTCHURCH CHRISTCHURCH 8445    ,
KLEANP,Klean Property Services Limited,New Zealand,,,,021 08572020,Ourhuria Ourhuria   Christchurch  8083,
KWIKKE,KWIK KERB SOUTH ISLAND LTD,,,,,,Rolleston 7614 Rolleston 7614 Canterbury    ,
LABELX,Label X Ltd,New Zealand,,,info@labelx.co.nz,03 982-3640,Christchurch Christchurch   Christchurch  8140,
LANDMA,LandMan Limited t/a Cut'n'Paste,,Andy,Spence,,,Onetangi Onetangi Waiheke Island  Auckland  1081,
LAURAF,Laura Fergusson Trust Canterbury,New Zealand,,,accounts@lftcant.co.nz,03 5950727,Burnside Burnside   Christchurch  8053,
LEAFLA,LEAFLAND,,,,lpc@leafland.co.nz,0800 532 352,cnr Napier Rd & Roberts Line cnr Napier Rd & Roberts Line Palmerston North    ,
LEEDSA,LEEDSAFE (WAIFOR),,,,admin@leedsafe.co.nz,0508 147 147,Edgeware Edgeware Christchurch 8143    ,
LEEDSA1,LEEDSAFE (WAITRU),,,,admin@leedsafe.co.nz,0508 147 147,Edgeware Edgeware Christchurch 8143    ,
LEVINS,LEVIN SAWMAKERS LTD,,,,info@timbersaws.co.nz,(06) 368 2494,Levin Levin 5540    ,
LIFETI,Lifetime Group Ltd t/a Lifetime Home Loans,New Zealand,Simon,Ward,,03 372-1919,Victoria Street Victoria Street   Christchurch  8144,
LINCOL,Lincoln Envirotown Trust,New Zealand,,,,03 4230445,Lincoln University Lincoln University   Lincoln  7647,
LIVING,Living Earth (Waste Management),New Zealand,,,remittance@wastemanagement.co.nz,09 525-1003,Highbrook Highbrook   Auckland  2161,
LIVING1,LIVING EARTH LTD,,,,,09 526 0310,Penrose Penrose Auckland 1642    ,
MACKLE,MACKLEY CARRIERS (2008) LIMITED,,,,pricing@mackleys.co.nz,940 2451,Woolston Woolston Christchurch 8241    ,
MAGOOA,Magoo Auto Ltd (WAITRU),,,,ri@magooauto.co.nz,03 3486655,    Christchurch  8140,http://www.magooauto.co.nz
MAINLA,MAINLAND DRIVING SCHOOL LTD,,,,admin@driveschool.co.nz,,Christchurch Christchurch     ,
MAINLA1,MAINLAND SECURITY SYSTEMS LTD,,,,office@mainlandsecurity.co.nz,377 5335,CHRISTCHURCH CHRISTCHURCH     ,
MANNIN,Manning Sign Studio Ltd,,,,bonkowskin@scottishpacific.com,982 0202,P O Box 106047 P O Box 106047 Downtown  Auckland  ,
MANUKA,Manuka Press,New Zealand,,,info@manukapress.co.nz,03 445-4650,Cromwell Cromwell   Cromwell  9342,
MARTIN,MARTIN HYDRAULICS LTD,,,,accounts@martinhydraulics.co.nz,344 0307,Christchurch Christchurch 8441    ,
MARTYN,Martyns Outdoor Power and Equipment Centre Ltd,New Zealand,,,info@martyns.co.nz,(03) 355-9323,Burnside Burnside   Christchurch  8053,
MASTER,MASTERCARD (Bryn Price),,,,,,      ,
MASTER1,MASTERCARD (Joshua Smith),,,,,,      ,
MASTER2,MASTERCARD (Meryl Dawson),,,,,,      ,
MASTER3,MASTERCARD (Russell Keetley),,,,,,      ,
MATAIN,MATAI NURSERIES LTD,,,,lester@nznatives.co.nz,36898928,RD9 Waimate 7979 RD9 Waimate 7979     ,
MAUWAY,MAUWAYS NURSERY,,,,mauways@xtra.co.nz,06 322 9863,RD5 RD5 Hunterville 4785    ,
MAXWOO,MAXWOOD MANUFACTURING LTD,,,,accounts@maxwood.co.nz,,PO Box 11-317 PO Box 11-317 Christchurch 8443    ,
MCALPI,MCALPINES RANGIORA LTD,,,,accounts@mcalpines.co.nz,03 313 8999cpy invcs,Private Bag Private Bag RANGIORA    ,
MERIDI,MERIDIAN ENERGY (DD),,,,,,CHRISTCHURCH CHRISTCHURCH     ,
METALC,Metalcraft Roofing (cash sale a/c),New Zealand,,,,03 349-7350,Barrington Barrington   Christchurch  8244,
METROG,METROGREEN (CR),,,,sales@metrogreen.co.nz,3 6887317,Washdyke Washdyke Timaru 7941    ,
MIDLAN,MIDLAND HORTICULTURE,,,,sales@midlandhort.co.nz,63577129,Meeanee Meeanee Napier    ,
MILLWO,MILLWOOD NURSERY LTD,,,,grow.plants@xtra.co.nz,,Rakaia Rakaia     ,
MISCPA,Misc Payments & Staff Expenses,,Internal use only,,,,      ,
MITRE1,MITRE 10 MEGA FERRYMEAD,,,,accounts.ferrymead@mitre10.co.nz,366 6306,    Christchurch  ,
MOBILE,MOBILE TYRELAND CHRISTCHURCH LTD,,,,christchurch@mobiletyreland.co.nz,03 389 5005,Christchurch 8544 Christchurch 8544     ,
MOORES,Moores Valley Nurseries,New Zealand,,,,04 5648391,RD 1 RD 1   Wainuiomata  5373,
MORGAN,MORGANS ROAD NURSERY LTD,,,,morgansroadnursery@xtra.co.nz,03 578 1412,R D 3 R D 3 Blenheim    ,
MORRIS,Morrison Automotive Ltd,,,,service@morrisoncars.co.nz,03 3412020,    Christchurch  ,http://www.morrisoncars.co.nz
MPLAUT,MPL AUTOMOTIVE LTD,,,,,359 4272,Harewood Harewood CHRISTCHURCH    ,
MURRAY,MURRAY JONES (supplier a/c),,,,,,Halswell Halswell Christchurch (ar a/c 2014)   ,
MYOBNZ,MYOB NZ LTD,,,,exoaccounts@myob.com,0800 696 239,    Christchurch  8140,
NATION,National Trade Academy Ltd (Supplier),New Zealand,,,accounts@nta.co.nz,03 3602192,Harewood Harewood   Christchurch  8545,
